walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
5,65,2021,2.5,1.62,True,False,False,False,True,41.0
17,130,2023,3.8,32.8,True,False,False,True,False,77.0
18,105,2023,3.7,28.7,True,True,False,True,False,62.0
17,105,2023,3.6,36.8,True,True,False,True,False,70.0
11,95,2022,4.0,31.5,True,False,False,False,True,60.0
15,120,2021,4.0,58.57831,True,False,True,False,False,56.0
16,75,2021,4.0,28.8,True,False,True,False,False,45.0
9,100,2021,4.0,25.2,True,False,False,False,True,48.0
13,75,2021,4.3,19.8,True,False,True,False,True,44.0
13,90,2022,7.7,48.6,True,False,True,False,False,67.0
13,95,2022,7.8,44.55,True,False,False,True,False,66.0
18,95,2022,3.4,67.2,True,False,True,False,False,58.0
15,95,2022,3.3,49.8,True,False,False,False,True,61.0
13,95,2022,9.5,41.5,True,False,False,True,False,65.0
14,65,2021,3.6,38.0,True,False,True,False,False,37.0
16,105,2021,3.3,24.7,True,False,False,True,False,52.0
16,75,2020,3.8,17.1,True,False,True,False,False,48.0
18,100,2023,4.0,26.65,True,False,True,False,False,58.0
15,95,2022,3.8,49.5,True,False,True,False,False,60.0
14,95,2022,4.0,41.3875,True,True,False,False,False,63.0
14,95,2022,3.9,30.25,True,False,True,False,False,64.0
16,95,2022,17.3,27.399975,True,False,True,False,False,67.0
4,80,2021,13.8,31.95,True,False,False,True,False,63.0
14,100,2022,4.0,57.42,True,True,False,True,False,65.0
11,90,2021,3.6,46.15,True,False,True,False,False,55.0
5,65,2023,2.5,75.0,True,False,True,False,False,68.0
5,70,2024,4.4,38.0,True,True,False,False,False,76.0
6,100,2023,4.0,77.190625,True,False,False,False,True,73.0
5,75,2022,10.8,29.4,True,False,False,True,False,61.0
4,85,2021,8.0,79.475,True,True,False,False,False,76.0
7,70,2022,4.0,52.2,True,True,False,False,False,60.0
20,110,2020,5.0,45.89998,True,False,True,False,False,57.0
11,100,2024,6.0,36.06427,True,False,True,False,False,58.0
20,70,2023,3.4,28.8,True,True,False,False,False,44.0
21,75,2022,3.7,27.625,True,False,False,True,False,43.0
18,110,2022,4.0,31.6,True,False,False,False,True,54.0
18,100,2021,5.2,25.575,True,True,False,False,False,57.0
21,95,2021,4.0,25.575,True,False,False,False,True,52.0
19,75,2021,4.0,29.2,True,False,False,False,True,38.0
20,95,2021,3.0,47.45,True,False,False,True,False,44.0
15,95,2023,4.7,23.20002,True,False,False,True,False,61.0
21,95,2023,4.0,55.875,True,True,False,False,False,55.0
21,115,2023,4.0,90.0,True,False,False,False,True,67.0
24,90,2022,2.7,30.25,True,False,False,False,True,58.0
14,100,2022,4.0,35.75,True,False,False,False,True,66.0
21,105,2022,4.4,103.6,True,False,False,True,False,60.0
18,80,2021,3.9,53.95044,True,False,True,False,False,45.0
18,100,2022,6.4,44.9587,True,False,True,False,True,57.0
21,80,2022,3.0,49.45457,True,False,False,False,True,48.0
18,100,2021,7.6,34.775,True,False,False,True,False,50.0
16,85,2020,16.2,29.425,True,False,True,False,False,55.0
20,95,2021,1.8,35.7,True,True,False,False,False,47.0
18,105,2021,3.8,33.15,True,False,False,False,True,48.0
3,115,2023,4.0,104.5,True,True,False,True,False,78.0
5,65,2021,5.9,73.5,True,True,True,False,False,56.0
10,75,2023,7.2,29.8,True,True,False,False,False,49.0
6,100,2023,3.4,63.0,True,False,False,True,True,64.0
10,80,2022,4.0,21.91998,True,False,False,True,True,55.0
14,90,2021,2.7,29.425,True,False,False,True,False,53.0
11,90,2020,2.7,47.866,True,False,False,True,True,54.0
14,105,2021,2.7,55.23,True,True,False,False,False,63.0
4,95,2023,2.0,52.25,True,True,False,False,False,86.0
4,95,2023,2.0,52.25,True,True,False,False,False,84.0
6,70,2022,2.3,39.8,True,False,False,True,False,55.0
6,75,2022,3.0,54.66668,True,True,False,False,False,60.0
7,95,2021,8.0,77.0,True,True,False,False,False,77.0
