"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",9,67000000,3400000,65,1000000,"長方形",4.3,"住宅","南","区道",3.4,"１低住専",60,150,"2022年第1四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",10,160000000,2100000,260,620000,"ほぼ長方形",12,"住宅","東","私道",4,"１低住専",60,150,"2021年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",11,70000000,3100000,75,920000,"ほぼ整形",4.7,"住宅","北","区道",3.7,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",11,60000000,2500000,80,760000,"ほぼ長方形",4.5,"住宅","北","区道",3.7,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",11,47000000,2200000,70,660000,"ほぼ長方形",5.3,"","北","区道",4.1,"１低住専",60,150,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",9,53000000,2700000,65,810000,"ほぼ長方形",9.7,"住宅","東","都道",15.1,"１種住居",60,200,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",10,45000000,2200000,65,680000,"ほぼ長方形",11.2,"住宅","南西","区道",5.9,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","立会川",10,73000000,2700000,90,820000,"ほぼ長方形",9.6,"住宅","南西","私道",4,"１中住専",60,200,"2022年第3四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","立会川",10,140000000,3200000,145,960000,"台形",10.7,"その他","南西","区道",4.7,"１中住専",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","立会川",10,61000000,3100000,65,930000,"ほぼ整形",5.1,"住宅","北","私道",4,"１中住専",60,200,"2022年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","立会川",9,66000000,2100000,105,640000,"長方形",11.8,"住宅","北西","私道",2.7,"１低住専",60,150,"2021年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","西大井",10,67000000,3600000,60,1100000,"長方形",6.2,"住宅","西","区道",2.7,"１中住専",60,200,"2023年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","西大井",11,370000000,2700000,450,820000,"ほぼ長方形",16.5,"住宅","北東","区道",4,"１低住専",60,150,"2023年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","西大井",11,100000000,2000000,160,620000,"ほぼ長方形",9,"住宅","北西","区道",3.8,"１低住専",60,150,"2023年第1四半期",""
