,district,walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
1449,新宿区,7,100,2022,3.7,53.625,True,False,False,True,False,70.0
1453,新宿区,9,85,2021,3.7,55.25,True,False,False,True,True,78.0
1455,新宿区,6,95,2021,3.8,68.083365,True,False,False,False,True,76.0
1458,新宿区,5,75,2024,4.0,49.5,True,False,False,True,True,100.0
1464,新宿区,7,85,2023,2.8,32.5,True,True,False,False,False,62.0
1465,新宿区,7,85,2023,2.9,39.91,True,True,False,False,False,66.0
1466,新宿区,10,70,2023,4.0,43.5875,True,True,True,False,False,57.0
1467,新宿区,10,90,2022,4.0,65.55,True,True,True,False,False,66.0
1469,新宿区,7,75,2021,4.0,66.4,True,True,False,False,False,58.0
1470,新宿区,7,85,2021,10.0,72.749985,True,False,False,False,True,65.0
1472,新宿区,4,60,2023,2.6,67.146435,True,True,False,False,False,54.0
1474,新宿区,4,100,2023,4.5,78.1,True,True,False,True,False,140.0
1477,新宿区,2,100,2023,4.5,89.0,True,False,True,False,False,140.0
1491,新宿区,5,105,2021,6.2,76.65,True,False,True,False,False,120.0
1492,新宿区,7,95,2021,6.1,73.0,True,True,False,False,False,130.0
1493,新宿区,8,95,2021,6.1,73.0,True,True,False,False,False,140.0
1497,新宿区,4,85,2022,6.7,45.6,True,False,True,False,False,68.0
1505,新宿区,8,90,2021,3.8,53.2,True,False,True,False,False,78.0
1516,新宿区,5,105,2022,4.0,77.6,False,True,False,False,False,150.0
1523,新宿区,4,60,2022,4.0,30.8,True,False,False,True,True,65.0
1525,新宿区,3,65,2022,2.6,34.6,True,True,False,True,False,70.0
1543,新宿区,8,85,2023,3.3,66.0,True,False,False,True,False,85.0
1548,新宿区,7,90,2023,4.0,67.375,True,False,True,False,False,100.0
1550,新宿区,6,110,2022,4.0,144.0,True,False,False,True,True,110.0
1551,新宿区,6,75,2022,3.4,49.5,True,False,False,False,True,75.0
1570,新宿区,5,85,2024,2.5,84.5,True,False,False,True,False,92.0
1594,新宿区,4,360,2022,3.4,254.89296,True,True,False,False,False,530.0
1637,新宿区,9,75,2022,2.9,70.77499,True,True,False,True,False,73.0
1646,新宿区,5,95,2021,3.6,57.85,True,False,True,False,True,78.0
1668,新宿区,7,70,2021,1.9,57.2,True,False,False,False,True,74.0
1678,新宿区,8,75,2024,3.0,67.146435,True,False,False,False,True,85.0
1681,新宿区,7,65,2023,3.0,55.43037,True,True,False,False,False,96.0
1686,新宿区,2,90,2023,4.6,34.8,True,False,True,False,False,150.0
1687,新宿区,3,90,2023,4.0,45.65,True,True,False,False,False,120.0
1688,新宿区,3,95,2023,4.0,49.8,True,False,True,False,False,130.0
1692,新宿区,4,80,2021,4.0,50.0,True,False,True,False,False,84.0
